female,black,hispanic,bytest,dadcoll,momcoll,ownhome,urban,cue80,stwmfg80,dist,tuition,ed,incomehi
0,0,0,65.13,1,1,1,0,5.8,9.55,0.1,0.806,16,1
1,0,1,58.8,0,0,1,0,5.8,9.55,0.1,0.806,13,1
0,0,0,62.97,1,0,1,0,5.8,9.55,0.1,0.806,13,1
0,0,0,58.94,1,1,0,0,5.8,9.55,0.1,0.806,15,0
0,0,1,53.91,0,0,1,0,4.4,9.55,1.5,0.806,12,1
1,0,1,48.25,1,0,1,0,4.4,9.55,1.5,0.806,12,0
0,0,0,63.12,1,0,1,0,6.1,8.1,1.6,0.73095,15,1
1,0,0,46.89,1,1,1,0,6.1,8.1,1.6,0.73095,13,1
0,0,0,46.67,0,0,1,0,6.1,8.1,1.6,0.73095,13,0
0,0,0,56.66,0,0,1,0,6.1,8.1,1.6,0.73095,13,0
1,0,0,45.92,0,0,1,0,6.1,8.1,1.6,0.73095,12,0
1,0,0,44.31,0,0,1,0,6.1,8.1,1.6,0.73095,12,0
0,0,1,49.35,1,0,1,1,6.9,9.55,0.1,0.806,16,0
0,0,1,45.31,0,0,1,1,6.9,9.55,0.1,0.806,14,0
1,0,0,67.4,0,0,1,1,6.1,8.1,0.4,0.73095,14,0
1,0,0,47.88,0,0,1,1,6.1,8.1,0.4,0.73095,12,0
0,0,1,38.91,0,0,1,1,6.1,8.1,0.4,0.73095,14,0
1,0,1,48.1,0,0,0,1,6.1,8.1,0.4,0.73095,12,0
0,0,0,43.64,0,0,1,0,5.9,8.41,1,0.69284,12,1
1,0,0,40.36,0,0,1,0,6.1,8.1,0.4,0.73095,12,1
1,0,0,50.78,1,0,1,0,6.1,8.1,0.4,0.73095,14,1
0,0,0,60.05,0,1,1,0,6.1,8.1,0.4,0.73095,12,0
0,0,0,45.39,1,1,1,0,6.1,8.1,0.4,0.73095,14,0
1,0,0,63.13,1,0,1,0,6.1,8.1,0.4,0.73095,15,1
0,0,0,49.05,0,0,1,0,6.1,8.1,0.4,0.73095,15,0
0,0,0,51.71,0,0,1,0,6.1,8.1,0.4,0.73095,12,0
1,0,0,58.72,1,0,1,0,6.1,8.1,0.4,0.73095,16,0
0,0,1,53.58,0,0,1,0,6.8,10.15,0.3,0.83141,12,0
1,0,0,50.25,1,0,0,0,6.8,10.15,0.3,0.83141,12,0
1,0,1,50.86,0,0,1,0,6.8,10.15,0.3,0.83141,13,1
1,0,0,43.17,0,0,1,0,6.8,10.15,0.3,0.83141,13,1
0,0,0,68.22,0,0,1,1,7.3,11.37,0.1,0.61547,16,0
1,0,0,46.33,0,0,1,1,7.3,11.37,0.1,0.61547,12,0
0,0,0,54.26,0,0,1,1,7.3,11.37,0.1,0.61547,12,0
1,0,0,57.9,1,0,1,1,7.3,11.37,0.1,0.61547,16,1
0,0,0,56.96,0,0,1,1,7.3,11.37,0.1,0.61547,12,0
0,0,0,58,0,0,1,1,7.3,11.37,0.1,0.61547,12,0
0,0,0,43.61,1,0,1,0,5.9,8.41,0.4,0.69284,13,1
0,0,0,57.38,0,0,1,0,5.9,8.41,0.4,0.69284,15,0
0,0,1,53.56,0,0,1,0,5.9,8.41,0.4,0.69284,15,0
0,0,0,54.68,1,0,1,0,5.3,9.5,3,0.54734,14,0
0,0,1,43.63,0,0,1,0,6.1,8.1,2.5,0.73095,14,0
0,0,1,58.88,0,0,1,0,6.1,8.1,2.5,0.73095,12,0
1,0,0,55.09,1,0,1,0,6.1,8.1,2.5,0.73095,14,1
1,0,1,41.2,0,0,1,0,7.2,8.1,0.5,0.73095,12,0
1,0,0,36.07,0,0,0,0,7.2,8.1,0.5,0.73095,12,0
0,0,0,54.31,0,0,1,0,7.2,8.1,0.8,0.73095,12,0
0,0,0,42.46,1,0,1,0,7.2,8.1,0.8,0.73095,13,0
0,0,0,58.55,0,0,0,0,7.2,8.1,0.8,0.73095,14,0
1,0,0,58.84,1,1,1,0,7.2,8.1,0.8,0.73095,15,0
1,0,1,40.38,0,0,0,0,6.1,8.1,1.5,0.73095,12,0
0,0,0,45.83,1,1,1,0,6.1,8.1,1.5,0.73095,13,0
1,0,0,60.35,1,0,1,0,6.1,8.1,1.5,0.73095,16,1
0,0,0,46.22,0,0,1,0,6.1,8.1,1.5,0.73095,12,0
0,0,0,56.86,1,1,1,0,6.1,8.1,1.5,0.73095,15,1
1,0,0,53.24,1,0,1,0,6.1,8.1,1.5,0.73095,12,0
0,0,0,45.69,0,0,1,0,6.1,8.1,1.5,0.73095,14,1
1,0,0,49.9,0,0,1,0,6.1,8.1,1.5,0.73095,14,0
1,0,0,56.07,0,0,1,0,6.1,8.1,1.5,0.73095,14,0
0,0,0,61.16,0,0,1,0,10.3,9.55,1.1,0.806,16,0
1,0,0,46.06,1,0,1,0,10.3,9.55,1.1,0.806,13,0
0,0,0,45.87,0,1,1,0,10.3,9.55,1.1,0.806,16,1
1,0,1,34.48,0,0,1,0,10.3,9.55,1.1,0.806,12,0
1,0,0,60.79,0,0,1,0,4.6,11.37,5,0.61547,13,0
1,0,0,50.01,0,0,1,0,4.6,11.37,5,0.61547,14,0
1,0,0,54.06,1,1,0,0,4.6,11.37,5,0.61547,15,0
