t,VP,VC,I,DPER,DUR,WAR,G,P,Z
1876,51.484,,-1,0,-1.5,0,5.11,,
1880,49.78,,-1,0,-1.75,0,3.879,1.974,9
1884,50.154,,-1,0,-2,0,1.589,1.055,2
1888,50.414,,1,1,0,0,-5.553,0.604,3
1892,51.732,,-1,-1,0,0,2.763,2.274,7
1896,47.76,48.081,1,0,0,0,-10.024,3.41,6
1900,46.829,46.604,-1,-1,0,0,-1.425,2.548,7
1904,39.994,43.659,-1,-1,-1,0,-2.421,1.442,5
1908,45.517,48.107,-1,0,-1.25,0,-6.281,1.879,8
1912,45.292,57.111,-1,-1,-1.5,0,4.164,2.172,8
1916,51.682,48.881,1,1,0,0,2.229,4.252,3
1920,36.148,37.957,1,0,1,1,-11.463,0,0
1924,41.737,42.093,-1,-1,0,0,-3.872,5.161,10
1928,41.244,42.838,-1,0,-1,0,4.623,0.183,7
1932,59.149,56.874,-1,-1,-1.25,0,-14.586,7.164,4
1936,62.226,58.476,1,1,0,0,11.836,2.475,9
1940,54.983,52.967,1,1,1,0,3.901,0.081,8
1944,53.778,51.718,1,1,1.25,1,4.233,0,0
1948,52.319,53.19,1,1,1.5,1,3.638,0,0
1952,44.71,49.944,1,0,1.75,0,0.726,2.349,7
1956,42.906,50.97,-1,-1,0,0,-1.451,1.897,5
1960,50.087,54.79,-1,0,-1,0,0.455,1.938,5
1964,61.203,57.324,1,1,0,0,5.087,1.269,10
1968,49.425,50.921,1,0,1,0,5.049,3.13,7
1972,38.209,52.66,-1,-1,0,0,5.949,4.795,4
1976,51.049,56.85,-1,0,-1,0,3.806,7.632,5
1980,44.842,51.383,1,1,0,0,-3.659,7.864,5
1984,40.877,52.778,-1,-1,0,0,5.424,5.249,8
1988,46.168,54.011,-1,0,-1,0,2.21,2.955,4
1992,53.621,52.744,-1,-1,-1.25,0,2.949,3.31,2
1996,54.737,50.158,1,1,0,0,3.258,2.027,4
2000,50.262,49.819,1,0,1,0,2.014,1.641,7
2004,48.767,48.632,-1,-1,0,0,1.989,2.245,1
2008,53.689,55.535,-1,0,-1,0,-2.26,3.052,1
