age,age_spouse,citizen,ethnicity,female,forborn,ftfy,hispanic,income_spouse,incwage,major,marrspp,metro,nchild,nchlt5,race,region,single,south,speakeng,years_usa,yrmarr
27,,1,"White",0,0,1,0,,39000,"Public service",0,0,0,0,"White","South",1,1,1,27,0
35,36,1,"White",1,0,0,0,30000,26000,"Health",1,1,4,0,"White","South",0,1,1,35,1995
42,52,1,"White",1,0,0,0,291000,14400,"Business",1,1,3,0,"White","South",0,1,1,42,1995
41,,1,"White",0,0,1,0,,85000,"Social sciences",0,1,0,0,"White","South",0,1,1,41,1995
53,56,1,"White",0,0,1,0,15000,32000,"Engineering",1,1,0,0,"White","South",0,1,1,53,1996
51,46,1,"White",0,0,1,0,100,290000,"Social sciences",1,1,2,0,"White","South",0,1,1,51,1989
45,49,1,"White",0,0,1,0,20000,49600,"Engineering",1,1,3,0,"White","South",0,1,1,45,1990
44,46,1,"White",1,0,0,0,117000,11200,"Education",1,1,2,0,"White","South",0,1,1,44,1991
32,,1,"Hispanic",0,0,1,1,,38500,"Social sciences",0,1,0,0,"White","South",1,1,1,32,0
27,26,1,"Black",0,0,1,0,0,28000,"Business",1,1,1,1,"Black","South",0,1,1,27,2008
52,51,1,"White",0,0,1,0,42000,42000,"Health",1,1,1,0,"White","South",0,1,1,52,1978
49,47,1,"White",0,0,1,0,52000,48000,"Business",1,0,2,0,"White","South",0,1,1,49,1989
33,29,1,"White",0,0,1,0,4000,135000,"Business",1,1,1,1,"White","South",0,1,1,33,2006
29,33,1,"White",1,0,0,0,135000,4000,"Education",1,1,1,1,"White","South",0,1,1,29,2006
28,,1,"White",0,0,1,0,,35000,"Social sciences",0,1,0,0,"White","South",1,1,1,28,0
45,,1,"White",0,0,1,0,,130000,"Engineering",0,1,0,0,"White","South",1,1,1,45,0
29,,1,"White",0,0,1,0,,57000,"Business",0,1,0,0,"White","South",1,1,1,29,0
48,42,1,"White",1,0,1,0,90200,125000,"Business",1,1,0,0,"White","South",0,1,1,48,2002
46,,1,"White",0,0,1,0,,50000,"Humanities",0,0,0,0,"White","South",0,1,1,46,1986
39,,1,"White",0,0,0,0,,20000,"Business",0,0,2,0,"White","South",0,1,1,39,1993
49,55,1,"White",1,0,1,0,120000,65000,"Business",1,1,1,0,"White","South",0,1,1,49,1990
52,54,1,"Black",1,0,1,0,30000,49000,"Engineering",1,1,1,0,"Black","South",0,1,1,52,1980
35,40,1,"White",1,0,1,0,80000,30000,"Education",1,1,1,0,"White","South",0,1,1,35,1996
32,40,1,"White",1,0,1,0,38000,22000,"Business",1,1,1,0,"White","South",0,1,1,32,2002
40,32,1,"White",0,0,1,0,22000,38000,"Social sciences",1,1,1,0,"White","South",0,1,1,40,2002
46,41,1,"White",0,0,1,0,40000,65000,"Business",1,1,2,0,"White","South",0,1,1,46,1993
47,52,1,"Black",1,0,1,0,28000,55000,"Education",1,1,1,0,"Black","South",0,1,1,47,1983
29,,1,"Black",1,0,1,0,,26000,"Engineering",0,1,1,0,"Black","South",1,1,1,29,0
38,38,1,"Other",0,0,1,0,7000,70000,"Humanities",1,1,2,0,"Other","South",0,1,1,38,1997
38,38,1,"White",1,0,0,0,70000,7000,"Education",1,1,2,0,"White","South",0,1,1,38,1997
52,57,1,"White",1,0,1,0,90000,30000,"Natural sciences",1,1,0,0,"White","South",0,1,1,52,1983
28,23,1,"White",1,0,0,0,50000,5000,"Education",1,1,1,1,"White","South",0,1,1,28,2007
28,27,1,"White",0,0,0,0,45000,19500,"Social sciences",1,1,2,2,"White","South",0,1,1,28,2005
45,,1,"Black",1,0,1,0,,69000,"Health",0,1,0,0,"Black","South",0,1,1,45,1991
30,,1,"White",1,0,0,0,,10000,"Humanities",0,1,0,0,"White","South",1,1,1,30,0
35,,1,"White",1,0,1,0,,76000,"Health",0,0,0,0,"White","South",0,1,1,35,2008
42,39,1,"White",0,0,1,0,2000,45700,"Humanities",1,0,2,1,"White","South",0,1,1,42,1997
39,42,1,"White",1,0,0,0,45700,2000,"Education",1,0,2,1,"White","South",0,1,1,39,1997
45,49,1,"White",1,0,1,0,30000,25000,"Natural sciences",1,0,1,0,"White","South",0,1,1,45,1983
34,27,1,"White",0,0,1,0,33000,55000,"Education",1,1,2,2,"White","South",0,1,1,34,2004
30,,1,"White",0,0,1,0,,22000,"Humanities",0,1,0,0,"White","South",1,1,1,30,0
51,51,1,"White",1,0,1,0,15300,60000,"Humanities",1,1,1,0,"White","South",0,1,1,51,1981
46,42,1,"White",0,0,1,0,3120,53000,"Social sciences",1,1,3,1,"White","South",0,1,1,46,2000
48,48,1,"White",0,0,1,0,62000,52000,"Health",1,1,2,0,"White","South",0,1,1,48,2008
47,,1,"Black",1,0,1,0,,43000,"Business",0,1,2,0,"Black","South",0,1,1,47,1990
44,,1,"Black",0,0,0,0,,11500,"Business",0,1,0,0,"Black","South",1,1,1,44,0
35,40,1,"White",0,0,1,0,62000,92000,"Business",1,1,2,1,"White","South",0,1,1,35,2003
40,35,1,"White",1,0,1,0,93000,62000,"Public service",1,1,2,1,"White","South",0,1,1,40,2003
25,24,1,"White",1,0,0,0,40000,6000,"Humanities",1,1,0,0,"White","South",0,1,1,25,2010
51,51,1,"Black",1,0,0,0,0,10000,"Social sciences",1,1,0,0,"Black","South",0,1,1,51,2008
26,25,1,"Black",1,0,1,0,62000,30000,"Health",1,1,2,2,"Black","South",0,1,1,26,2008
43,40,1,"White",0,0,1,0,0,148000,"Natural sciences",1,1,4,0,"White","South",0,1,1,43,1992
42,40,1,"White",0,0,1,0,0,75000,"Engineering",1,0,2,0,"White","South",0,1,1,42,1990
