ahe,yrseduc,female,age,northeast,midwest,south,west
13.07692337,13,1,56,1,0,0,0
38.46154022,18,0,59,1,0,0,0
62.39316177,12,0,52,1,0,0,0
21.36752129,18,0,38,1,0,0,0
15.68627453,14,0,38,1,0,0,0
22.59615326,13,1,41,1,0,0,0
62.125,13,0,42,1,0,0,0
12.17948723,12,0,48,1,0,0,0
24.03846169,14,1,42,1,0,0,0
16.1713295,16,0,51,1,0,0,0
16.1713295,16,1,49,1,0,0,0
38.46154022,16,0,33,1,0,0,0
15.38461494,14,1,52,1,0,0,0
22.11538506,14,0,55,1,0,0,0
29.80769157,12,0,51,1,0,0,0
26.44230843,12,0,59,1,0,0,0
14.10256386,11,0,52,1,0,0,0
12.51923084,13,0,44,1,0,0,0
14.42307663,19,1,37,1,0,0,0
11.21794891,16,0,59,1,0,0,0
25.64102554,14,1,35,1,0,0,0
12.5,16,0,31,1,0,0,0
38.46154022,14,0,44,1,0,0,0
24.03846169,14,1,41,1,0,0,0
34.18803406,16,0,46,1,0,0,0
38.46154022,14,1,45,1,0,0,0
10.2564106,13,0,24,1,0,0,0
14.42307663,12,1,59,1,0,0,0
15.38461494,12,0,57,1,0,0,0
34.13461685,14,1,33,1,0,0,0
10.81730747,14,1,41,1,0,0,0
10.09615421,12,0,44,1,0,0,0
22.59615326,19,0,39,1,0,0,0
9.340659142,12,1,52,1,0,0,0
12.5,14,0,52,1,0,0,0
10,13,1,34,1,0,0,0
10.5,13,0,37,1,0,0,0
14.89017105,13,1,37,1,0,0,0
60.09615326,13,1,43,1,0,0,0
11.21794891,12,1,42,1,0,0,0
24.03846169,12,0,43,1,0,0,0
11.62307739,12,1,64,1,0,0,0
12.93557739,16,0,56,1,0,0,0
21.57051277,18,0,51,1,0,0,0
24.61538506,16,0,54,1,0,0,0
19.79166603,13,0,36,1,0,0,0
21.15384674,16,1,49,1,0,0,0
19.05913544,12,1,50,1,0,0,0
23.55769157,16,1,50,1,0,0,0
19.58041954,18,0,41,1,0,0,0
25,12,0,21,1,0,0,0
12.01923084,13,0,30,1,0,0,0
16.34615326,13,1,43,1,0,0,0
7.512820721,16,1,62,1,0,0,0
7.692307472,12,0,23,1,0,0,0
14.68531513,16,1,53,1,0,0,0
2.403846264,12,0,58,1,0,0,0
4.567307472,13,0,27,1,0,0,0
14.42307663,18,1,25,1,0,0,0
55.38461685,14,0,41,1,0,0,0
11.1888113,13,0,56,1,0,0,0
12.01923084,13,1,35,1,0,0,0
6.44970417,12,0,38,1,0,0,0
13.94230747,12,0,43,1,0,0,0
9.857142448,12,0,30,1,0,0,0
5.769230843,12,1,38,1,0,0,0
4.273504257,12,0,40,1,0,0,0
22.59615326,18,1,41,1,0,0,0
8.241758347,12,0,30,1,0,0,0
26.49572563,12,0,46,1,0,0,0
17.78846169,12,0,31,1,0,0,0
10.09615421,12,1,29,1,0,0,0
14.42307663,12,0,47,1,0,0,0
2.747252703,12,1,38,1,0,0,0
11.53846169,14,0,36,1,0,0,0
26.21367455,12,0,41,1,0,0,0
20.04855728,16,0,52,1,0,0,0
79.21852875,18,1,51,1,0,0,0
18.26922989,12,0,45,1,0,0,0
13.67521381,12,1,45,1,0,0,0
19.23077011,12,0,47,1,0,0,0
9.340659142,12,1,23,1,0,0,0
26.17067337,16,1,38,1,0,0,0
16.82692337,13,1,51,1,0,0,0
23.07692337,14,1,60,1,0,0,0
23.07692337,14,1,54,1,0,0,0
10.57692337,12,0,55,1,0,0,0
19.23077011,12,0,59,1,0,0,0
12.5,9,1,44,1,0,0,0
12.01923084,13,0,59,1,0,0,0
17.78846169,16,0,26,1,0,0,0
32.05128098,16,1,38,1,0,0,0
27.88461494,12,0,45,1,0,0,0
30.38461494,16,0,28,1,0,0,0
38.46154022,12,0,58,1,0,0,0
40.86538315,16,0,52,1,0,0,0
14.52991486,18,1,28,1,0,0,0
19.02810669,14,0,42,1,0,0,0
27.2435894,13,0,63,1,0,0,0
30.3418808,16,0,45,1,0,0,0
10.09615421,11,0,35,1,0,0,0
14.90384579,13,1,27,1,0,0,0
23.55769157,11,0,33,1,0,0,0
11.96581173,9,0,22,1,0,0,0
25.64102554,18,0,39,1,0,0,0
19.23077011,16,1,41,1,0,0,0
11.22049999,13,0,33,1,0,0,0
11.75213718,12,1,37,1,0,0,0
18.26922989,12,0,37,1,0,0,0
28.84615326,14,1,57,1,0,0,0
9.615385056,13,1,59,1,0,0,0
18.75,12,0,54,1,0,0,0
