fips_state_code,fips_county_code,state_abb,county_name,p_poor_fair_health,poor_phys_health_days,poor_ment_health_days,p_low_birthweight,p_adult_smokers,p_adult_obesity,food_env_index,p_phys_inactive,p_excess_drink,p_driving_deaths_alc,chlamydia_rate,teen_birth_rate,p_uninsured,prim_care_phys_rate,dentist_rate,ment_health_prov_rate,high_school_grad_rate,p_some_college_25_44,unemp_rate,p_child_poverty,p_singleparent_households,violent_crime_rate,injury_death_rate,particulate_matter,p_severe_housing_problems,p_drive_alone_work,population_2011,p_agelt_18,p_agege_65,p_af_am,p_native_am,p_asian,p_haw_pacisl,p_hispanic,p_non_hisp_white,p_not_prof_english,p_female,p_rural,p_diabetic,hiv_rate,age_adjusted_mortality,infant_mortality_rate,child_mortality_rate,p_food_insecure,mv_crash_mort_rate,drug_poison_mort_rate,median_hh_income,p_children_free_lunch,homicide_rate,county_fips
1,1,"AL","Autauga County",.228,5.1,3.6,.09,.217,.305,7.445,.294,.167,.255,446.9,39,.139,38,27,2,.8,.547,.065,.185,.301,302.91,69.6,12.92,.117,.878,55514,.26,.13,.18,.005,.009,.001,.025,.768,.004,.511,.42,.118,181.1,439.5,9,59.2,.136,23.92,7.42,51441,.361,3.57,1001
1,3,"AL","Baldwin County",.127,3.3,3.8,.09,.206,.266,7.993,.276,.179,.319,301.5,46.4,.166,75,44,46,.74,.618,.068,.205,.279,213.3,76.2,13.13,.135,.832,190790,.226,.177,.094,.007,.008,.001,.045,.834,.018,.511,.423,.118,188.1,365,6.4,58.7,.131,19.98,14.71,48867,.368,4.18,1003
1,5,"AL","Barbour County",.234,4.8,4.3,.12,.251,.373,5.403,.35,.135,.476,873.9,73.8,.189,44,33,3,.606,.414,.112,.47,.559,154.33,52.7,12.62,.168,.827,27201,.212,.152,.467,.006,.005,.002,.049,.468,.022,.463,.678,.142,388.1,459.3,12.8,105.3,.23,26.17,,30287,.664,5.13,1005
1,7,"AL","Bibb County",.179,4.7,5.1,.13,.259,.343,7.799,.37,.112,.276,465.6,49.3,.16,22,16,,.73,.442,.076,.272,.393,254.24,98.1,12.87,.095,.823,22597,.216,.139,.221,.003,.001,.001,.02,.747,.005,.46,.684,.111,106.7,541.8,11.2,103.9,.158,33.79,16.58,37392,.535,7.65,1007
1,9,"AL","Blount County",.242,5.9,3.9,.08,.213,.304,8.648,.35,.055,.233,175.1,47.6,.181,19,19,3,.81,.463,.062,.231,.253,164.46,89.3,12.66,.126,.805,57826,.24,.159,.014,.006,.002,.001,.084,.885,.028,.506,.9,.14,92.8,426.2,6.6,63.9,.121,28.3,13,44225,.439,4.08,1009
1,11,"AL","Bullock County",.23,4.2,,.14,.378,.421,3.702,.325,,.4,1403.9,85.1,.157,28,16,8,.725,.36,.134,.432,.654,333.96,102.5,12.75,.141,.841,10474,.212,.146,.688,.009,.002,.008,.078,.224,.032,.458,.514,.175,409.1,514.8,,,.27,58.66,,25854,.901,,1011
1,13,"AL","Butler County",.199,3.9,3.5,.1,.305,.383,6.352,.369,.109,.154,639.2,61.5,.164,34,29,19,.72,.462,.109,.421,.494,452.92,70.8,12.82,.165,.887,20307,.231,.174,.432,.003,.009,0,.011,.538,.002,.531,.712,.16,219.8,553,10.8,64,.227,28.73,7.53,30605,.679,9.58,1013
1,15,"AL","Calhoun County",.227,5.2,5.1,.09,.244,.332,6.642,.333,.116,.2,663,50.7,.169,67,46,63,.787,.508,.076,.314,.388,553.33,78.4,12.89,.145,.844,117296,.227,.152,.205,.005,.008,.001,.034,.735,.011,.519,.337,.139,185.4,532.3,8,81.3,.175,22.73,11.18,39212,.51,11.31,1015
1,17,"AL","Chambers County",.385,5,4.3,.12,.241,.354,6.071,.387,,.25,766.1,62.6,.179,38,23,,.8,.471,.093,.347,.516,575.7,77.5,12.97,.171,.844,34064,.22,.176,.385,.002,.006,.001,.017,.582,.005,.523,.491,.15,318.2,531.1,6.7,62.8,.21,27.08,9.44,32320,.651,8.21,1017
1,19,"AL","Cherokee County",.242,6.1,5.2,.09,.244,.314,8.166,.342,.149,.303,268.6,52.2,.172,27,15,15,.72,.535,.071,.299,.258,335.88,80.9,12.93,.102,.805,26021,.208,.193,.047,.005,.002,0,.014,.92,.002,.504,.857,.136,119.8,466.5,,72.7,.15,25.78,12.89,37868,.508,,1019
1,21,"AL","Chilton County",.205,4.6,4.9,.1,.201,.383,8.105,.315,.093,.246,321.2,57.7,.202,18,20,14,.73,.433,.065,.302,.299,692.29,99.3,12.93,.162,.807,43819,.246,.145,.098,.005,.003,.002,.076,.811,.021,.508,.867,.125,98.7,521.7,9.9,98.5,.145,36.11,18.39,39621,.523,4.68,1021
1,23,"AL","Choctaw County",.316,5.6,4.6,.12,.199,.389,6,.379,,.346,462.9,45.8,.176,37,44,,.775,.435,.09,.301,.457,111.71,80.7,12.82,.111,.825,13633,.218,.196,.431,.002,.002,0,.006,.555,0,.523,1,.173,258,515.6,,,.199,44.97,,33390,.683,,1023
1,25,"AL","Clarke County",.218,4.4,3,.13,.137,.36,5.144,.37,.088,.27,821.2,41.9,.184,47,28,20,.779,.458,.121,.318,.481,491.47,72.3,13.01,.159,.864,25161,.236,.172,.441,.004,.003,0,.011,.534,.001,.528,.76,.157,117.8,452.2,9.5,48.8,.244,31.34,,34606,.601,8.11,1025
1,27,"AL","Clay County",.286,6,5.3,.11,.262,.353,7.462,.394,,.308,454.5,52.1,.192,36,15,7,.825,.409,.093,.3,.348,287.42,65.5,12.92,.136,.801,13435,.222,.185,.147,.005,.002,0,.029,.801,.011,.511,1,.147,143.7,500.7,,77.8,.176,20.32,,34579,.524,,1027
1,29,"AL","Cleburne County",.2,5.9,5.2,.09,.189,.313,8.443,.347,,.154,269.6,53.5,.167,20,7,33,.92,.471,.069,.26,.304,284.18,85,12.96,.136,.793,14832,.229,.175,.035,.004,.002,.001,.022,.928,.007,.504,1,.133,123.2,531.6,,,.134,24.32,9.73,38235,.486,11.67,1029
1,31,"AL","Coffee County",.184,3.5,3.6,.09,.177,.299,7.391,.306,.098,.298,572,48.8,.173,44,31,35,.848,.594,.062,.225,.363,343.89,67.9,12.61,.116,.84,51252,.239,.149,.169,.015,.013,.004,.063,.721,.022,.506,.472,.126,140.3,398.2,9.3,95.2,.151,23.78,6.02,45631,.363,3.31,1031
1,33,"AL","Colbert County",.259,4.4,4.8,.1,.296,.322,7.494,.307,.074,.137,598,53.2,.15,55,38,15,.756,.564,.076,.253,.331,364.67,77.1,12.71,.134,.876,54446,.218,.178,.16,.005,.005,0,.022,.795,.006,.519,.439,.137,111.1,493.2,8.5,86.5,.158,20.74,4.46,39771,.444,6.04,1033
1,35,"AL","Conecuh County",.183,4.4,5.2,.12,.229,.363,4.776,.373,,.242,663.9,54.8,.19,38,15,31,.775,.406,.116,.463,.479,603.53,116.5,12.86,.137,.904,12981,.224,.192,.462,.004,.001,0,.015,.508,.002,.515,.809,.177,280.5,572.9,,79.5,.244,47.98,10.66,27110,.813,10.66,1035
1,37,"AL","Coosa County",.258,4,4.6,.12,.3,.343,6.947,.318,,.545,700.1,48.6,.161,,,,.475,.294,.082,.311,.416,269.81,101.2,12.93,.145,.831,10966,.193,.179,.307,.006,.002,.002,.021,.658,.004,.504,1,.156,132.7,525.8,,,.178,33.6,,32960,.65,,1037
1,39,"AL","Covington County",.25,4.2,5.2,.1,.287,.338,7.606,.385,.109,.275,449.3,69.2,.177,53,34,31,.77,.492,.075,.34,.394,311.85,83,12.71,.151,.813,37955,.225,.191,.125,.006,.005,0,.014,.838,.006,.516,.697,.137,130.4,473.9,8.5,87.7,.163,30.53,4.96,34017,.47,4.2,1039
1,41,"AL","Crenshaw County",.203,4,3.8,.09,.166,.357,6.182,.339,,.278,553.5,53.6,.192,22,14,21,.875,.434,.072,.29,.45,357.87,86.1,12.75,.13,.802,14083,.237,.167,.241,.005,.019,.001,.016,.705,.012,.516,1,.148,176.4,499,,74.2,.168,35.01,,33648,.504,,1041
1,43,"AL","Cullman County",.214,3.9,4.4,.09,.22,.324,8.172,.315,.109,.237,321.6,55.9,.179,57,43,65,.769,.535,.064,.256,.271,181.25,79.6,12.53,.133,.806,80440,.227,.169,.011,.005,.005,0,.043,.926,.014,.506,.732,.13,58.8,467,7.2,55.9,.134,32.53,7.19,37938,.448,3.05,1043
1,45,"AL","Dale County",.212,4.9,3.9,.09,.212,.353,6.797,.311,.144,.378,577.5,50.5,.156,24,31,37,.766,.628,.073,.28,.316,417.94,68,12.52,.111,.837,50444,.244,.143,.191,.008,.011,.001,.058,.709,.011,.507,.509,.139,317.3,453.1,6.9,76.6,.166,21.34,8.36,40125,.519,5.77,1045
1,47,"AL","Dallas County",.252,3.9,3.6,.13,.206,.414,3.694,.345,.12,.517,1262.3,74.6,.159,67,32,25,.71,.434,.137,.596,.653,794.32,80.8,12.93,.224,.81,42864,.262,.148,.693,.002,.004,0,.008,.287,.002,.537,.456,.151,362.5,585.4,8.6,86.8,.315,26.81,4.85,27400,.77,19.7,1047
1,49,"AL","DeKalb County",.204,4.7,4.9,.09,.18,.324,7.887,.313,.101,.207,207.4,60.4,.233,35,24,4,.86,.39,.085,.304,.337,169.35,78.3,12.93,.142,.846,71080,.254,.148,.016,.022,.004,.008,.14,.81,.047,.507,.901,.129,76.2,475.2,7.7,53.2,.153,25.35,11.75,37644,.587,2.68,1049
1,51,"AL","Elmore County",.167,4.4,4.4,.09,.214,.306,7.621,.309,.103,.424,499,42.3,.14,27,13,12,.744,.565,.068,.205,.302,142.74,78.1,12.91,.115,.857,80629,.23,.13,.208,.004,.007,.001,.027,.741,.011,.512,.542,.123,224.1,432.5,7.4,73.3,.144,25.94,5.45,52324,.41,6.2,1051
1,53,"AL","Escambia County",.281,5.2,4.7,.11,.209,.369,6.379,.387,.077,.41,567,69.8,.193,58,32,22,.765,.458,.089,.376,.506,537.7,104.2,12.92,.147,.82,37994,.225,.157,.319,.034,.003,0,.02,.61,.001,.484,.635,.132,163,497.3,10.2,76.4,.201,37.31,20.35,33588,.617,9.42,1053
1,55,"AL","Etowah County",.227,5.2,5,.09,.26,.318,7.088,.338,.107,.35,569.5,54.6,.169,72,44,75,.75,.55,.072,.31,.359,434.65,78.2,12.79,.144,.866,104392,.228,.164,.152,.005,.007,.003,.035,.79,.012,.516,.375,.141,148,553.8,9.9,79.7,.16,21.2,12.25,35737,.487,7.43,1055
1,57,"AL","Fayette County",.318,5.6,5.2,.1,.141,.364,7.704,.321,,.214,355,49.5,.159,99,29,,.825,.389,.08,.275,.334,138.94,114.4,12.47,.096,.847,16983,.218,.184,.115,.004,.002,0,.013,.857,.001,.506,.802,.158,93.9,542.8,,89,.167,42.13,10.53,35720,.483,,1057
1,59,"AL","Franklin County",.24,5,4.4,.09,.245,.343,7.703,.374,,.4,279.1,65.9,.21,50,22,6,.854,.452,.082,.314,.324,275.89,92.4,12.27,.142,.813,31761,.248,.155,.038,.015,.003,.001,.151,.794,.056,.502,.704,.142,50.4,546.5,10.4,70.5,.155,29.73,14.18,33173,.57,,1059
1,61,"AL","Geneva County",.283,4.3,3.4,.09,.325,.34,8.024,.345,.126,.259,429.4,52.3,.184,19,7,11,.766,.505,.069,.358,.433,352.5,88.9,12.52,.143,.818,26931,.22,.183,.097,.009,.003,.001,.034,.845,.013,.512,.896,.136,143.8,459.2,,70.9,.153,32.53,5.42,33347,.541,8.13,1061
1,63,"AL","Greene County",.271,5.1,5.3,.16,.181,.479,3.021,.365,,.2,1636.6,52.7,.177,34,11,11,.675,.376,.114,.482,.495,1111.29,82,12.87,.22,.729,8876,.237,.167,.808,.002,.002,0,.009,.175,.001,.531,1,.194,242.8,487.3,,,.3,33.49,,24592,.873,18.27,1063
1,65,"AL","Hale County",.211,3.9,4.1,.14,,.416,6.303,.383,,.44,1199.7,44.5,.191,6,13,25,.67,.409,.099,.387,.549,415.06,82.8,12.92,.165,.828,15388,.24,.163,.585,.002,.003,0,.01,.396,.004,.527,.892,.163,283.7,594.7,,91.4,.243,42.88,,31025,.676,15.75,1065
