church_rate_total,church_rate_evang,church_rate_blackprot,church_rate_mainlineprot,church_rate_catholic,church_rate_orthodox,church_rate_other,church_rate_mormon,church_rate_muslim,state_abb,population_2010,county_fips,church_rate_baptist
676.87889,503.99,41.978889,82.858889,32.358889,0,15.688889,15.028889,0,"AL",54571,1001,337.1178
531.74,318.13889,17.17,110.14,76.858889,1.04,8.38,5.61,0,"AL",182265,1003,206.72
549.99,320.25,121.20889,77.938889,20.94,0,9.65,9.65,0,"AL",27457,1005,276.9778
498.8,443.32889,42.158889,13.178889,0,0,.13,0,0,"AL",22915,1007,389.0889
651.62,509.8,1.01,52.95,82.76,0,5.0888889,5.08,0,"AL",57322,1009,431.17
577.24,197.18,315.64889,55.07,4.49,0,4.86,0,0,"AL",10914,1011,261.1278
586.14889,413.08889,79.098889,78.908889,3.68,0,11.358889,4.87,0,"AL",20947,1013,356.7478
713.62,569.80889,43.538889,59.59,26.92,.34,13.41,9.6888889,2.6,"AL",118572,1015,417.8489
650.33,377.12,168.93,90.018889,7.28,0,6.99,6.9288889,0,"AL",34215,1017,431.3278
479.24,418.06,0,61.178889,0,0,0,0,0,"AL",25989,1019,385.2789
698.58,609.66889,25.57,41.358889,16.25,0,5.73,5.66,0,"AL",43643,1021,505.0367
701.41889,438.69889,190.12889,56.928889,4.33,0,11.33,11.33,0,"AL",13859,1023,340.3589
792.39889,527.76889,197.34,63.178889,.43,0,3.68,3.68,0,"AL",25833,1025,525.5689
739.65889,638.75,12.99,74.5,13.348889,0,.07,0,0,"AL",13932,1027,576.2989
765.62889,696.97,12.22,56.368889,0,0,.07,0,0,"AL",14972,1029,633.91
661.11,518.32,26.428889,69.208889,31.03,0,16.12,16.12,0,"AL",49948,1031,449.89
694.59,546.75889,59.82,61.88,26,0,.13,0,0,"AL",54428,1033,443.4867
570.75889,324.83889,151.18889,74.158889,0,0,20.558889,0,0,"AL",13228,1035,377.4578
532.79889,362.25,120.29,50,0,0,.26,0,0,"AL",11539,1037,353.3289
619.25,530.97,17.928889,55.42,7.71,0,7.23,7.12,0,"AL",37765,1039,429.4189
631.66889,535.15889,17.55,62.92,0,0,16.038889,15.89,0,"AL",13906,1041,417.5889
781.01889,669.88889,0,45.99,57.38,0,7.7588889,7.7,0,"AL",80406,1043,471.1389
492.17,357.77889,37.63,73.87,5.53,0,17.35,17.17,0,"AL",50251,1045,282.6189
605.79889,382.56889,146.00889,55.64,12.23,0,9.3588889,7.5088889,.68,"AL",43820,1047,338.06
553.65889,457.55,0,55.2,37.368889,0,3.54,3.5288889,0,"AL",71109,1049,360.29
469.68,356.04,23.98,74.42,8.5388889,0,6.7,6.53,0,"AL",79303,1051,273.0189
600.59,467.56889,56.468889,48.25,13.83,0,14.46,0,0,"AL",38319,1053,387.19
804.41889,615.87889,46.09,55.688889,73.01,0,13.758889,7.79,5.9,"AL",104430,1055,523.72
