state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch
1,1982,1.370000005,14.39999962,10544.15234,50.69203949,1.539379478,30.35569954,0.328289986,19,25.00629997,0.211572006,7233.887207,0,0,0,839,0.000212836,146,3.7037E-05,99,53,0.000253589,9,4.3062E-05,99,34,0.000446845,0.000153462,120,0.000413793,32,0.000110345,309.4379883,7.8498E-05,3942002.25,208999.5938,221553.4375,290000.0625,28516,9.699999809,57.79999924,-0.02212476
1,1983,1.360000014,13.69999981,10732.79785,52.14702988,1.788990736,30.33359909,0.343409985,19,22.99419975,0.210767999,7836.347656,0,0,0,930,0.000234848,154,3.88889E-05,98,71,0.000351485,8,3.9604E-05,108,26,0.000492868,0.000118653,124,0.000427586,35,0.00012069,341.8340149,8.6322E-05,3960008,202000.0781,219125.4688,290000.1563,31032,9.600000381,57.90000153,0.046558253
1,1984,1.320000052,11.10000038,11108.79102,54.16808701,1.714285612,30.31150055,0.359239995,19,24.04260063,0.211484,8262.990234,0,0,0,932,0.000233643,165,4.13638E-05,94,49,0.000248731,7,3.5533E-05,103,25,0.000475259,0.000115354,118,0.000409722,34,0.000118056,304.8720093,7.6428E-05,3988991.75,196999.9688,216724.0938,288000.1563,32961,7.5,59.50000381,0.062797837
1,1985,1.279999971,8.899999619,11332.62695,55.27113724,1.652542353,30.28949928,0.37579,19.67000008,23.63389969,0.211140007,8726.916992,0,0,0,882,0.000219348,146,3.63094E-05,98,66,0.000338462,9,4.6154E-05,100,23,0.000466529,0.000107302,114,0.000401408,45,0.000158451,276.7420044,6.8824E-05,4021007.75,194999.7344,214349.0313,284000.3125,35091,7.199999809,60.10000229,0.027489973
1,1986,1.230000019,9.800000191,11661.50684,56.51449585,1.609907031,30.26740074,0.393110007,21,23.4647007,0.213400006,8952.853516,0,0,0,1081,0.000266914,172,4.24691E-05,119,82,0.000401961,10,4.902E-05,120,23,0.000566038,0.000108491,119,0.000452471,29,0.000110266,360.7160034,8.9066E-05,4049993.75,203999.8906,212000,263000.2813,36259,7,60.70000076,0.032142948
1,1987,1.179999948,7.800000191,11944,57.50988007,1.559999943,30.24530029,0.411229998,21,23.79240036,0.215526998,9166.301758,0,0,0,1110,0.000271859,181,4.43301E-05,114,94,0.000458537,11,5.3659E-05,127,31,0.00060766,0.000148325,138,0.000532819,30,0.00011583,368.42099,9.0233E-05,4082999,204999.8125,208998.4531,258999.7656,37426,6.199999809,61.5,0.048976373
1,1988,1.169999957,7.199999809,12368.62402,56.83452988,1.501443624,30.22330093,0.430180013,21,23.79240036,0.218327999,9674.323242,0,0,0,1023,0.000249391,139,3.38859E-05,89,66,0.000328358,8,3.9801E-05,105,24,0.00054404,0.000124352,123,0.000467681,25,9.5057E-05,298.321991,7.2726E-05,4101992.25,201000.125,193000.5156,262999.7813,39684,5.5,62.30000305,0.035391819
4,1982,1.970000029,9.899999619,12309.06934,56.89329529,0.214797139,3.958899975,4.919099808,19,0,0.209012002,6810.156738,0,1,1,724,0.000249914,131,4.52192E-05,76,40,0.000283688,7,4.9645E-05,81,16,0.000517973,0.000102316,96,0.000440367,36,0.000165138,173.6679993,5.9948E-05,2896996.5,140999.9844,156378.7031,217999.9844,19729,9.699999809,57.79999924,-0.0431819
4,1983,1.899999976,9.100000381,12693.80762,57.55363083,0.206422031,3.890100002,4.831069946,19,0,0.203854993,6587.494629,0,1,1,675,0.000226738,112,3.76218E-05,60,40,0.00028777,7,5.036E-05,83,19,0.000526912,0.000120618,80,0.000365297,17,7.7626E-05,196.8899994,6.6137E-05,2977004.25,138999.8906,157521.4375,218999.8906,19611,9.600000381,57.90000153,0.076205537
4,1984,2.140000105,5,13265.93359,60.37902069,0.296703309,3.822599888,4.744609833,19,0,0.209126994,6709.970215,0,1,1,869,0.000282878,149,4.85026E-05,81,51,0.000369565,8,5.7971E-05,118,34,0.00074367,0.000214278,123,0.000559091,33,0.00015,212.3609924,6.9128E-05,3071995.75,138000.0781,158672.5313,219999.9688,20613,7.5,59.50000381,0.106213972
