rank,name,number,female,website
1,SOPHIA,3683,1,http://www.avss.ucsb.edu/NameFema.HTM
2,ISABELLA,3136,1,
3,EMMA,2482,1,
4,EMILY,2455,1,
5,MIA,2352,1,
6,OLIVIA,1932,1,
7,SOFIA,1715,1,
8,ABIGAIL,1657,1,
9,SAMANTHA,1475,1,
10,AVA,1447,1,
11,CAMILA,1419,1,
12,VICTORIA,1316,1,
13,NATALIE,1302,1,
14,CHLOE,1108,1,
15,ELIZABETH,1108,1,
16,EVELYN,1042,1,
17,GENESIS,1039,1,
18,MADISON,1010,1,
19,ZOE,1010,1,
20,ASHLEY,1006,1,
21,CHARLOTTE,921,1,
22,HAILEY,916,1,
23,MELANIE,893,1,
24,AUDREY,875,1,
25,ALEXA,864,1,
26,KIMBERLY,861,1,
27,ALYSSA,857,1,
28,ALLISON,843,1,
29,ZOEY,831,1,
30,AUBREY,830,1,
31,ELLA,830,1,
32,GRACE,822,1,
33,LILY,793,1,
34,BELLA,777,1,
35,KAYLEE,765,1,
36,ANDREA,761,1,
37,LEAH,758,1,
38,AALIYAH,746,1,
39,BRIANNA,746,1,
40,HANNAH,746,1,
41,SCARLETT,724,1,
42,AVERY,714,1,
43,MAYA,712,1,
44,JOCELYN,704,1,
45,BROOKLYN,685,1,
46,VALERIA,679,1,
47,ARIANNA,675,1,
48,KAYLA,670,1,
49,JASMINE,655,1,
50,ARIANA,642,1,
51,AMELIA,638,1,
52,LAYLA,626,1,
53,DELILAH,624,1,
54,KATHERINE,618,1,
55,VANESSA,618,1,
56,ALEXIS,611,1,
57,SAVANNAH,605,1,
58,VALERIE,592,1,
59,SOPHIE,588,1,
60,SARAH,587,1,
61,NATALIA,579,1,
62,GIANNA,574,1,
63,AMY,559,1,
64,MARIA,559,1,
65,RUBY,557,1,
66,GISELLE,554,1,
67,VIOLET,545,1,
68,NICOLE,542,1,
69,ALEXANDRA,536,1,
70,ANGELINA,535,1,
71,NEVAEH,535,1,
72,ADDISON,532,1,
73,STELLA,518,1,
74,MILA,516,1,
75,CLAIRE,513,1,
76,NAOMI,510,1,
77,MELISSA,507,1,
78,EVA,506,1,
79,JADE,504,1,
80,RILEY,489,1,
81,KYLIE,488,1,
82,JESSICA,486,1,
83,KHLOE,485,1,
84,DESTINY,466,1,
85,LILIANA,466,1,
86,FAITH,462,1,
87,ISABEL,461,1,
88,ARIA,457,1,
89,GABRIELLA,457,1,
90,DAISY,453,1,
91,MICHELLE,451,1,
92,JULIA,441,1,
93,STEPHANIE,439,1,
94,XIMENA,438,1,
95,HARPER,429,1,
96,MELODY,427,1,
97,VALENTINA,422,1,
98,JENNIFER,421,1,
99,LILLIAN,420,1,
100,ANGELA,419,1,
101,TAYLOR,413,1,
102,ELLIE,404,1,
103,MAKAYLA,402,1,
104,DANIELA,390,1,
105,LEILANI,389,1,
106,ANNA,387,1,
107,ALICE,383,1,
108,MADELINE,382,1,
109,SERENITY,381,1,
110,LAUREN,380,1,
111,PENELOPE,372,1,
112,SYDNEY,369,1,
113,JULIANA,361,1,
114,ELENA,360,1,
115,JACQUELINE,359,1,
116,YARETZI,359,1,
117,AUBREE,356,1,
118,KAITLYN,352,1,
119,LUNA,350,1,
120,ALIYAH,343,1,
121,LUCY,341,1,
122,ARIEL,339,1,
123,KATELYN,339,1,
124,ALINA,335,1,
125,ALONDRA,335,1,
126,MADELYN,334,1,
127,BAILEY,332,1,
128,JAYLEEN,328,1,
129,LESLIE,326,1,
130,PEYTON,324,1,
131,ELIANA,323,1,
132,MARIAH,319,1,
133,DIANA,315,1,
134,ANNABELLE,306,1,
135,ATHENA,305,1,
136,ESMERALDA,303,1,
137,ISABELLE,303,1,
138,MACKENZIE,299,1,
139,BROOKE,295,1,
140,PAIGE,292,1,
141,ADRIANA,290,1,
142,GUADALUPE,288,1,
143,JULIANNA,282,1,
144,IZABELLA,280,1,
145,KENNEDY,279,1,
146,SARA,278,1,
147,GABRIELA,275,1,
148,VIVIAN,275,1,
149,LEILA,274,1,
150,SADIE,273,1,
151,AUTUMN,272,1,
152,ALEXIA,271,1,
153,ALICIA,266,1,
154,HAZEL,266,1,
155,MIRANDA,265,1,
156,RACHEL,265,1,
157,SIENNA,265,1,
158,ELISE,264,1,
159,ANA,261,1,
160,AURORA,261,1,
161,BRIELLE,261,1,
162,LILLY,258,1,
163,ALLYSON,251,1,
164,IRIS,250,1,
165,REBECCA,249,1,
166,MYA,248,1,
167,TRINITY,247,1,
168,REAGAN,245,1,
169,LONDON,244,1,
170,JULIET,243,1,
171,AMBER,242,1,
172,ELISA,242,1,
173,MOLLY,240,1,
174,LUCIA,238,1,
175,FATIMA,236,1,
176,ITZEL,236,1,
177,MEGAN,236,1,
178,JAZMIN,233,1,
179,CATHERINE,230,1,
180,AILEEN,228,1,
181,AMANDA,227,1,
182,FERNANDA,226,1,
183,KAMILA,224,1,
184,KEIRA,223,1,
185,MARILYN,223,1,
186,AMAYA,222,1,
187,JULISSA,222,1,
188,LYLA,222,1,
189,CHELSEA,221,1,
190,RYLEE,220,1,
191,NAYELI,219,1,
192,IVY,217,1,
193,KATIE,217,1,
194,ALEJANDRA,216,1,
195,LAILA,216,1,
196,JORDYN,215,1,
197,KATE,215,1,
198,MORGAN,215,1,
199,ALESSANDRA,214,1,
200,ANGELIQUE,213,1,
201,ALANA,212,1,
202,REESE,212,1,
203,MARIANA,211,1,
204,SUMMER,210,1,
205,CAROLINE,209,1,
206,ELEANOR,208,1,
207,BRIANA,207,1,
208,KARINA,206,1,
209,AUDRINA,205,1,
210,TIFFANY,205,1,
211,JULIETTE,204,1,
212,MARY,204,1,
213,SKYLAR,204,1,
214,BROOKLYNN,203,1,
215,DANIELLA,203,1,
216,BIANCA,202,1,
217,CALI,201,1,
218,PAISLEY,199,1,
219,EDEN,198,1,
220,JOSEPHINE,198,1,
221,PRISCILLA,198,1,
222,SIERRA,198,1,
223,PERLA,197,1,
224,KARLA,196,1,
225,ALISON,195,1,
226,ANGELICA,194,1,
227,CRYSTAL,194,1,
228,JAYLENE,193,1,
229,FIONA,192,1,
230,MIKAYLA,191,1,
231,ROSE,191,1,
232,CAMILLE,190,1,
233,GENEVIEVE,190,1,
234,QUINN,190,1,
235,CYNTHIA,188,1,
236,PAYTON,188,1,
237,KENDALL,187,1,
238,CLARA,186,1,
239,KAREN,186,1,
240,APRIL,185,1,
241,JIMENA,185,1,
242,DANIELLE,184,1,
243,JAZMINE,184,1,
244,JOANNA,183,1,
245,SABRINA,182,1,
246,JANELLE,181,1,
247,SARAI,180,1,
248,JAYLAH,179,1,
249,EVANGELINE,178,1,
250,JAYLA,178,1,
251,ISLA,177,1,
252,EMILIA,175,1,
253,PIPER,173,1,
254,CELESTE,171,1,
255,EMELY,170,1,
256,KELLY,170,1,
257,MADELEINE,170,1,
258,ANGEL,169,1,
259,CHRISTINA,169,1,
260,HAYDEN,169,1,
261,SELENA,169,1,
262,LYDIA,167,1,
263,KYLEE,166,1,
264,VIVIANA,166,1,
265,VIVIENNE,166,1,
266,GIA,165,1,
267,LOLA,163,1,
268,PRESLEY,163,1,
269,JAZLYN,162,1,
270,MARLEY,162,1,
271,ADELINE,161,1,
272,JULIE,161,1,
273,PHOEBE,161,1,
274,CAMILLA,160,1,
275,CORA,160,1,
276,HALEY,160,1,
277,GIULIANA,159,1,
278,KAILEY,159,1,
279,DANNA,158,1,
280,MELANY,158,1,
281,CASSANDRA,156,1,
282,GABRIELLE,156,1,
283,MALIA,155,1,
284,MARISSA,155,1,
285,CECILIA,154,1,
286,HEIDI,154,1,
287,JENNA,154,1,
288,AYLIN,152,1,
289,DAHLIA,151,1,
290,LILA,151,1,
291,ANGIE,149,1,
292,KIARA,149,1,
293,GEMMA,148,1,
294,ALEXANDRIA,147,1,
295,ANAHI,147,1,
296,ARABELLA,147,1,
297,CASSIDY,147,1,
298,DAYANA,146,1,
299,BRENDA,145,1,
300,NINA,145,1,
301,LIZBETH,143,1,
302,ANNABELLA,142,1,
303,ELIZA,142,1,
304,KIRA,142,1,
305,JORDAN,141,1,
306,OLIVE,140,1,
307,SIENA,139,1,
308,ABBY,138,1,
309,BRITTANY,138,1,
310,NORA,138,1,
311,DULCE,137,1,
312,LILAH,137,1,
313,VERONICA,137,1,
314,ASHLYN,136,1,
315,CLARISSA,136,1,
316,ESTHER,136,1,
317,JASMIN,136,1,
318,NATHALIE,136,1,
319,CAROLINA,135,1,
320,DENISE,134,1,
321,LEXI,134,1,
322,MONICA,134,1,
323,CARMEN,133,1,
324,KASSANDRA,133,1,
325,SERENA,133,1,
326,SHELBY,133,1,
327,ALEENA,132,1,
328,EMERY,132,1,
329,HELEN,132,1,
330,LIA,132,1,
331,GRACIE,131,1,
332,PAOLA,131,1,
333,KENIA,129,1,
334,NOEMI,129,1,
335,ANNIE,128,1,
336,HARMONY,127,1,
337,LILLIANA,125,1,
338,NADIA,125,1,
339,MILEY,124,1,
340,DAPHNE,123,1,
341,HOPE,123,1,
342,YARELI,123,1,
343,CATALEYA,122,1,
344,ANABELLE,121,1,
345,ARIELLE,121,1,
346,BETHANY,121,1,
347,CATALINA,121,1,
348,DESIREE,121,1,
349,HANNA,121,1,
350,ESTRELLA,120,1,
351,LAURA,120,1,
352,NATALY,120,1,
353,ARELY,119,1,
354,IRENE,119,1,
355,JAMIE,119,1,
356,MAKENZIE,119,1,
357,ADRIANNA,118,1,
358,BREANNA,118,1,
359,ELOISE,118,1,
360,WILLOW,118,1,
361,AYLA,117,1,
362,AYLEEN,117,1,
363,ERIN,117,1,
364,JANE,117,1,
365,KAYLIE,117,1,
366,GALILEA,116,1,
367,NOELLE,116,1,
368,MIAH,115,1,
369,SASHA,115,1,
370,CARLY,114,1,
