arrests_ever_num,incarc_totmonths,favorite_icecream,optimistic_future,cigarette_ever,age_first_smoke,alcohol_ever,age_first_alcohol,race,age_bio_mom_birth,hh_income_1997,hh_net_worth_1997,highgrade_bio_dad,highgrade_bio_mom,highgrade_res_dad,highgrade_res_mom,race_ethnicity,depressed_lastmo,age,region,citizen,income_family,hh_pov_ratio,num_hh_under_18,num_hh_under_6,marrstat,marrstat_collapsed,msa,num_bio_child_hh,num_bio_child_nonres,religion,had_income_lastyr,wage_sal,spouse_hadjob,spouse_wage_sal,internet,weight,pray_daily,religion_import,smoke_days_lastmo,cigs_perday,drank_yesno,days_drank_lastmo,drinks_perday,drink5plus_days,marijuana,marijuana_days_lastmo,hard_drugs,hard_drugs_num,sex_num_lastmo,health,computer_hours_perweek,tv_hours_perweek,sleep_hours_pernight,drive_drink_lastmo,health_insure,wkswk_yr,hours_wk_yr,year_first_marry,highgrade_comp,highest_degree,hh_net_worth_age30,cohab_totalnum,marriages_totalnum,female,asvab_test_pct,est_wage_sal,est_spouse_wage_sal,height_inch,partner_same_sex
"0",0,"Chocolate",,"Yes",12,"Yes",15,"White",26,,,16,8,16,8,"Non-Black / Non-Hispanic","Some of the time",29,"Northeast","Citizen, naturalized",50000,104,2,2,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Muslim","YES",50000,,,"YES",155,"FALSE","Not very important",,,"NO",,,,"NO",,"NO",,,"Excellent","10 hours or more a week","Less than 2 hours per week",7,"0 times","YES",37,1295,,16,"Bachelor's degree (BA, BS)",34500,0,0,1,45.07,50000,,67,
"0",0,"Vanilla","STRONGLY DISAGREE","No",,"No",,"Something else? (SPECIFY)",19,,,17,15,14,15,"Hispanic","None of the time",29,"Northeast","Citizen, naturalized",81000,712,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Roman Catholic","YES",81000,,,"YES",175,"FALSE","Somewhat important",,,"YES",5,3,2,"NO",,"NO",,5,"Excellent","7 to 9 hours a week","3 to 10 hours a week",8,"0 times","YES",53,2965,,14,"High school diploma (Regular 12 year program)",,0,0,0,58.483,81000,,67,
"0",0,"Vanilla","AGREE","No",,"Yes",12,"Something else? (SPECIFY)",26,63000,10200,,12,,12,"Hispanic",,28,"South","Citizen, born in the U.S.",150250,854,1,1,"Never married, cohabiting","Never-married","In CBSA, not in central city",1,0,"Nondenominational Christian","YES",,"YES",,"YES",140,"TRUE","Extremely important",15,3,"YES",3,2,"0","NO",,"NO",,,"Fair","10 hours or more a week","3 to 10 hours a week",6,"0 times","YES",51,2448,,14,"Associate/Junior college (AA)",,1,0,1,27.978,,,58,0
"0",0,"Vanilla",,"No",,"Yes",15,"Something else? (SPECIFY)",33,11700,-1500,12,12,,12,"Hispanic","None of the time",30,"Northeast","Citizen, born in the U.S.",,,2,1,"Never married, cohabiting","Never-married","In CBSA, in central city",2,0,"Roman Catholic","YES",51000,"YES",40000,"YES",170,"FALSE","Somewhat important",,,"YES",2,2,"0","NO",,"NO",,2,"Good","4 to 6 hours a week","11 to 20 hours a week",8,"0 times","YES",22,960,,13,"High school diploma (Regular 12 year program)",,2,0,1,37.012,51000,40000,61,0
"0",0,"Vanilla","DISAGREE","Yes",12,"Yes",12,"White",34,,,12,12,12,12,"Hispanic","None of the time",29,"Northeast","Citizen, born in the U.S.",130000,739,1,1,"Married, spouse present","Married","In CBSA, in central city",1,0,"Roman Catholic","YES",68000,"YES",62000,"YES",180,"FALSE","Not very important","30",6,"YES",2,8,1,"NO",,"NO",,2,"Very good","Less than 1 hour a week","3 to 10 hours a week",5,"0 times","YES",41,2268,2009,12,"High school diploma (Regular 12 year program)",,0,1,0,-.004,68000,62000,66,0
"0",0,"Vanilla","AGREE","No",,"No",,"Something else? (SPECIFY)",25,,7500,,12,,12,"Hispanic","None of the time",29,"Northeast","Citizen, born in the U.S.",55000,240,1,1,"Married, spouse present","Married","In CBSA, in central city",1,0,"Christian Church","YES",,"YES",,"NO",,"TRUE","Very important",,,"NO",,,,"NO",,"NO",,,"Very good","1 to 3 hours a week","Less than 2 hours per week",6,"0 times","YES",38,1140,2003,14,"High school diploma (Regular 12 year program)",,0,1,1,22.001,,,,0
2,0,"Chocolate","AGREE","No",,"No",,"Something else? (SPECIFY)",26,,7500,,12,,12,"Hispanic","Most of the time",28,"Northeast","Citizen, born in the U.S.",14766,101,0,0,"Married, spouse present","Married","In CBSA, not in central city",,,"Roman Catholic","YES","0","YES",300,"NO",,,,,,,,,,,,"NO",,,"Fair","None","Less than 2 hours per week",6,"0 times","YES","0: weeks","0",2010,11,"GED",,0,1,0,3.585,0,300,,0
"0",0,"Vanilla",,"No",,"No",,"White",36,,,6,12,6,12,"Non-Black / Non-Hispanic",,30,"Northeast","Citizen, born in the U.S.",66750,456,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Roman Catholic","YES",65000,,,"YES",150,"FALSE","Not very important","0",,"YES",15,5,15,"YES","0","NO",,0,"Excellent","10 hours or more a week","3 to 10 hours a week",4,"I DID NOT DRIVE IN THE PAST 30 DAYS","YES",53,2700,,18,"Master's degree (MA, MS)",-17500,0,0,1,-.004,65000,,67,
"0",0,"Vanilla","AGREE","No",,"No",,"White",37,,,6,12,6,12,"Non-Black / Non-Hispanic","None of the time",29,"Northeast","Citizen, born in the U.S.",110000,644,0,0,"Never married, not cohabiting","Never-married","In CBSA, in central city",,,"Roman Catholic","YES",30000,,,"YES",195,"TRUE","Very important","30",5,"YES",1,10,1,"NO",,"NO",,,"Very good","7 to 9 hours a week","Less than 2 hours per week",5,"0 times","NO",12,705,,18,"Master's degree (MA, MS)",,0,0,0,-.004,30000,,71,
"0",0,"Vanilla","AGREE","No",,"No",,"White",38,,,6,12,6,12,"Non-Black / Non-Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"Bachelor's degree (BA, BS)",,0,0,0,-.004,,,,
